"CUSTID","FULLNAME","TITLE","CITY","STATE","ZIP","COUNTRY","PHONE","FAX","CREATEDATE","EMAIL","SSN","CREDITCARD","RECNUM"
"1129","Ms Suitephanie Sundheim",,"Englewood","CO","80112","United States",,,"12/27/2005",,"449-22-5690","4371-8584-5103-7810","129"
"1130","Mr Dino Gonzalez","Manager Engrg","Richardson","TX","75082","United States","9726561059","(972) 656-5270","2/20/2007",,"439-69-2635","4917-0699-7417-4582","130"
"1131","Ubaldino Gonzalez","Manager","Richardson","TX","75082","United States","9726561059","(972) 656-5270","4/16/1996",,"471-37-0406","5159-7937-4455-1134","131"
"1132","Ms Gloria Vanarsdale","Financial Analyst","Tulsa","OK","74172","United States","9185906247","(918) 590-5503","3/28/2001",,"400-01-4570","5110-0695-7014-4635","132"
"1133","Ms Gloria Van Arsdale","Corporation Development Analyst","Tulsa","OK","74172","United States","9185616247","(918) 588-5503","10/28/1996",,"584-48-1112","4823-6922-3241-0648","133"
"1134","Ms Becky Smith","Admin Assistant","Marked Tree","AR","72365","United States","8703582200","(870) 358-4190","12/18/1999",,"591-95-8461","4642-7473-4192-6527","134"
"1135","Ms Rebecca Smith","Administrative Assistant","Marked Tree","AR","72365","United States","8703582200","(870) 358-4190","12/24/2004",,"594-43-6112","5181-4814-1633-8459","135"
"1136","Mr Dan Sage","Con Prog Analyst","Madison","WI","53707","United States","6082679486",,"4/23/1998",,"591-43-6516","5191-4815-1533-8556","136"
"1137","Mr Daniel L'sage","Assistant Administrator","Madison","WI","53707","United States","6082679486",,"12/2/1999","saged@mailstatEastwius.com","246-27-0093","4375-3711-0339-7166","137"
"1138","Mr Coy Cook","Assistant To President","Huntsville","AL","35805","United States","2054308101",,"2/23/1998",,"236-16-0983","5126-6929-3848-0698","138"
"1139","Koy Cook","Senior Director","Huntsville","AL","35805","United States","2054307043","(205) 430-8208","10/23/1998",,"281-95-8461","5178-8037-5456-2322","139"
"1140","Marnell Ford",,"Birmingham","AL","35210","United States","2059569537",,"5/27/1995",,"213-58-1222","5120-1696-8024-5732","140"
"1141","Ms Marynell Ford","Senior Vice President","Birmingham","AL","35210","United States","2059569537","(205) 965-0328","1/23/1998",,"339-11-4680","5178-3717-0936-7213","141"
"1142","Mr Eugene Webb","Assistant Director Ics","Saint Petersburg","FL","33731","United States","8138937050","(813) 893-7173","10/25/1999","eewebb@stpetEastorg.com","381-90-3461","5133-6473-3191-0965","142"
"1143","East Webb","Assistant Director Ics","Saint Petersburg","FL","33731","United States","8138937050","(813) 893-7173","2/14/2003",,"323-16-9287","4007-5368-2997-9465","143"
"1144","Mr Hank Goradesky","President","Sunrise","FL","33323","United States","8005832423","(800) 706-7363","6/23/1998",,"333-64-7232","4197-9598-6417-3390","144"
"1145","Mr Hank Goradesky",,"Sunrise","FL","33323","United States",,,"11/14/1995",,"452-74-7341","4197-9038-6467-1177","145"
"1146","Mr Henry Goradesky",,"Sunrise","FL","33323","United States",,,"11/14/1995",,"465-85-8058","5165-3250-0389-7288","146"
"1147","Mr Tony Bird","Vice President","W Melbourne","FL","32904","United States","4077258000","(407) 727-0736","2/22/1996",,"436-11-4983","4652-2253-9672-6941","147"
"1148","Mr Anthony Bird","Engineer","Melbourne","FL","32904","United States","4077258000",,"7/21/1995",,"484-43-6112","5194-9041-6760-3362","148"
"1149","Mr Bob Schmidt",,"Pittsburgh","PA","15205","United States",,,"8/29/1997",,"536-64-7938","4281-9584-6103-7914","149"
"1150","R Shmidt","Manager Office Automat","Pittsburgh","PA","15205","United States","4127772439",,"3/4/1996",,"517-58-2929","5168-8037-5456-2233","150"
"1151","Ms Teresa Brown","Senior Consultant","Pittsford","NY","14534","United States","7163816000","(716) 383-6800","11/15/1999","tbrown@veramark.com","562-85-8451","4823-6472-3291-5335","151"
"1152","Ms Terri Brown",,"Pittsford","NY","14534","United States",,,"11/15/1999",,"520-69-2635","4826-6479-3898-0564","152"
"1153","Ms Marge O'Brien",,"New York","NY","10014","United States","2127279755",,"9/13/1994",,"271-85-8451","4004-5361-2290-4148","153"
"1154","Ms Peggy O'Brien",,"New York","NY","10014","United States",,,"4/23/1998",,"217-06-9974","4649-7476-4505-1819","154"
"1155","Ms Kay Jackson","President","Ocean City","NJ","8226","United States","6093983230",,"1/15/1998",,"259-79-3744","4471-3264-0683-7147","155"
"1156","Ms Kathryn Jackson","President","Ocean City","NJ","8226","United States","6093983230",,"5/15/1998",,"210-06-9570","5149-7926-4555-1030","156"
"1157","James Smith",,"New York","NY","10022","United States",,"(212) 755-2551","7/25/1996",,"323-69-2232","5197-9048-6467-3525","157"
"1158","Jim Smith",,"New York","NY","10022","United States",,"(212) 755-2551","7/25/1996",,"342-74-7341","4462-3704-0632-6926","158"
"1159","Andre Hayes","Director","Atlanta","GA","30305","United States",,,"11/12/2004","AndrEastHayes@worldafrican.com","275-80-3158","5175-8031-5859-2175","159"
"1160","Andrzej Mucha","Senior Financial Analyst","Greensboro","NC","27455","United States","910-545-2157","(910) 545-2500","1/23/1998","AndrzejMucha@vcela.com","228-17-2121","4742-2253-9672-6851","160"
"1161","Anthony Dillon","Deputy Generall Counsel","Greenspring","NC","27455","United States","220193635","(910) 545-2219","9/13/1996","AnthonyDillon@vcela.com","242-22-5396","4288-4368-1986-8275","161"
"1162","Arthur Nelson",,"Myrtle Beach","SC","29579","United States","803.744.0150",,"7/27/2005",,"216-33-6491","5152-7483-4102-1151","162"
"1163","B J Kemple","Manager Sales","Dallas","TX","75220","United States","214/904/9704","(214) 904-0131","12/2/1999","BKemple@ehpt.com","219-46-9496","4555-2700-9329-6978","163"
"1164","B Liu","International Sales Manager","Pearl","MS","39208","United States",,"(601) 939-6637","4/11/1997",,"227-78-2466","4555-7470-4809-1851","164"
"1165","Bob Bainbridge","President","Arden Hills","MN","55112","United States","612/628-0015","(612) 628-4034","12/22/1996",,"443-17-1056","5133-1603-8621-5074","165"
"1166","Brad Poorman",,"Abilene","TX","79606","United States",,,"8/4/1996","BradPoorman@sts.com 915/677.1741","573-19-3487","4642-2703-9622-5729","166"
"1167","Brent Levetan","Director","Salt Lake City","UT","84107","United States",,,"2/17/1997","BrentLevetan@3com.com","255-33-1244","5162-3704-0632-7262","167"
"1168","Carol Whitaker","CEO","Englewood","CO","80110","United States","(303) 733-7474","(303) 733-7480","6/11/1994",,"223-45-7455","4468-8587-5406-2014","168"
"1169","Carol Brookins","President","Washington","DC","20036","United States","(202) 785-3345","(202) 659-6891","7/23/1994",,"244-60-1467","4826-1699-8328-5682","169"
"1170","Chris Storbeck","Manager Sales","Grapevine","TX","76051","United States","(817) 291-9060",,"2/24/2004","ChrisStorbeck@ehpt.com","227-66-8290","5126-1149-8378-5814","170"
